,id,date,text,place,screen_name
0,1661196268318920705,2023-05-24 02:23:48,"Untuk memperkuat pondasi kemenangan untuk Ganjar Pranowo 2024, Sahabat Ganjar Depok berkunjung ke BMI Kota Depok.… https://t.co/4nBQjsNGl9",Indonesia,IDSahabatGanjar
1,1661196173997395969,2023-05-24 02:23:26,"RT @LaingenLisa: ""Semoga Ganjar Pranowo bisa melanjutkan kepemimpinan Nasional dari pak Presiden Joko Widodo,""...😎🇮🇩
Ganjar Pranowo 
https:…","DKI Jakarta, Indonesia",DiniHdianti
2,1661196167450099714,2023-05-24 02:23:24,"RT @ShintaSusan2: Belajar Reformasi Birokrasi bersama Ganjar Pranowo #2024menangtotal 

Becca OH MY OH MY GOD Hasto SMTOWN Abel Cristiano R…",Jakarta,ShintaSusan2
3,1661196146767962116,2023-05-24 02:23:19,"Untuk memperkuat pondasi kemenangan untuk Ganjar Pranowo 2024, Sahabat Ganjar Depok berkunjung ke BMI Kota Depok.… https://t.co/ZLb0Z0yLTN",,sahabatganjar
4,1661196142363938817,2023-05-24 02:23:18,"Belajar Reformasi Birokrasi bersama Ganjar Pranowo #2024menangtotal 

Becca OH MY OH MY GOD Hasto SMTOWN Abel Crist… https://t.co/vjPzkuCiVJ",Jakarta,ShintaSusan2
5,1661195985501175810,2023-05-24 02:22:41,"RT @tempodotco: Kurang Bukti, Relawan Ganjar Pranowo Gagal Polisikan Anies Baswedan soal Pembangunan Jalan Era Jokowi #TempoNasional https:…",SBY barat benowo 04 / 02 / 13,JoePhiyo
6,1661195963606913025,2023-05-24 02:22:35,RT @sahabatganjar: Gubernur Jawa Tengah (Jateng) Ganjar Pranowo mengunggah momen makan malam bersama dengan Wali Kota Surakarta Gibran Raka…, TNBD Sumatra Indoneaia,polt4kj4b4l23_
7,1661195943897886721,2023-05-24 02:22:31,"RT @NenkMonica: Menurut anda siapa yg sesungguhnya mempunyai elektabilitas yg tinggi sbg Capres dari PDIP  ? 
PUAN MAHARANI 👉 Retweet
GANJA…","Jakarta Barat, DKI Jakarta",Ahmed99432468
8,1661195925774274560,2023-05-24 02:22:26,"RT @Paltiwest: Prabowo Subianto: 24,5%
Ganjar Pranowo: 22,8%
Anies Baswedan: 13,6%

Survei periodik Litbang Kompas melalui wawancara tatap…",,BiBoDah1
9,1661195875883053058,2023-05-24 02:22:14,"RT @Wadas_Melawan: GANJAR TIDAK DATANG SAAT DIPANGGIL KOMNAS HAM ATAS DUGAAN PELANGGARAN HAM DALAM KASUS WADAS

Indikasi pelanggaran Hak As…","Jakarta Barat, DKI Jakarta",Last__Sword
